lat,lon,label,placename,weeklyactive,DENGUE,RABIES,ANIMAL_RABIES,MEASLES,HFMD,weight,timestamp,TB
6.703489,100.1883175,Daerah: Perlis<br>No:1<br>Hex coord:(5;1),Entrance to the Perlis national park. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:05.4555126Z,0
6.711269,100.2018802,Daerah: Perlis<br>No:2<br>Hex coord:(6;1),Wang Kelian. Kangar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:06.3670169Z,0
6.703489,100.2154429,Daerah: Perlis<br>No:3<br>Hex coord:(7;1),Wang Kelian. Kangar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:07.3081120Z,0
6.687929,100.1883175,Daerah: Perlis<br>No:4<br>Hex coord:(5;2),Caltex Wang Kelian. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:08.4429070Z,0
6.695709,100.2018802,Daerah: Perlis<br>No:5<br>Hex coord:(6;2),Taman Negeri Perlis. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:09.2267549Z,0
6.687929,100.2154429,Daerah: Perlis<br>No:6<br>Hex coord:(7;2),Bukit Nasikering. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:09.9968790Z,0
6.687929,100.2425683,Daerah: Perlis<br>No:7<br>Hex coord:(9;2),Hutan Rizab Mata Ayer. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:10.7086701Z,0
6.695709,100.256131,Daerah: Perlis<br>No:8<br>Hex coord:(10;2),Guar Petai. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:11.4064100Z,0
6.687929,100.2696937,Daerah: Perlis<br>No:9<br>Hex coord:(11;2),Bukit Mata Ayer. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:12.0781385Z,0
6.695709,100.2832564,Daerah: Perlis<br>No:10<br>Hex coord:(12;2),Border guard road. Padang Besar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:12.7814749Z,0
6.672369,100.1883175,Daerah: Perlis<br>No:11<br>Hex coord:(5;3),Wang Kelian. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:13.4471677Z,0
6.680149,100.2018802,Daerah: Perlis<br>No:12<br>Hex coord:(6;3),Genting Perah. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:14.1388237Z,0
6.672369,100.2154429,Daerah: Perlis<br>No:13<br>Hex coord:(7;3),Wang Kelian. Kangar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:14.8040448Z,0
6.680149,100.2290056,Daerah: Perlis<br>No:14<br>Hex coord:(8;3),Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:15.4900534Z,0
6.672369,100.2425683,Daerah: Perlis<br>No:15<br>Hex coord:(9;3),Padang Besar. Kangar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:16.1499940Z,0
6.680149,100.256131,Daerah: Perlis<br>No:16<br>Hex coord:(10;3),Hutan Rizab Mata Ayer. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:16.8451898Z,0
6.672369,100.2696937,Daerah: Perlis<br>No:17<br>Hex coord:(11;3),Border guard road. Padang Besar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:17.5101562Z,0
6.680149,100.2832564,Daerah: Perlis<br>No:18<br>Hex coord:(12;3),Border guard road. Padang Besar. Perlis. Malaysia,0,0,0,0,0,0,1,2023-03-06T18:40:18.1956227Z,0
