lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
3.284655,101.827493,Daerah: Ampang Jaya<br>No:1<br>Hex coord:(7;0),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.276875,101.787023,Daerah: Ampang Jaya<br>No:2<br>Hex coord:(4;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.269095,101.800513,Daerah: Ampang Jaya<br>No:3<br>Hex coord:(5;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.276875,101.814003,Daerah: Ampang Jaya<br>No:4<br>Hex coord:(6;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.269095,101.827493,Daerah: Ampang Jaya<br>No:5<br>Hex coord:(7;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.276875,101.840983,Daerah: Ampang Jaya<br>No:6<br>Hex coord:(8;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.253535,101.773533,Daerah: Ampang Jaya<br>No:7<br>Hex coord:(3;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.261315,101.787023,Daerah: Ampang Jaya<br>No:8<br>Hex coord:(4;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.253535,101.800513,Daerah: Ampang Jaya<br>No:9<br>Hex coord:(5;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.261315,101.814003,Daerah: Ampang Jaya<br>No:10<br>Hex coord:(6;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.253535,101.827493,Daerah: Ampang Jaya<br>No:11<br>Hex coord:(7;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.237975,101.773533,Daerah: Ampang Jaya<br>No:12<br>Hex coord:(3;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.245755,101.787023,Daerah: Ampang Jaya<br>No:13<br>Hex coord:(4;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.237975,101.800513,Daerah: Ampang Jaya<br>No:14<br>Hex coord:(5;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.245755,101.814003,Daerah: Ampang Jaya<br>No:15<br>Hex coord:(6;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.222415,101.746553,Daerah: Ampang Jaya<br>No:16<br>Hex coord:(1;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.230195,101.760043,Daerah: Ampang Jaya<br>No:17<br>Hex coord:(2;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.222415,101.773533,Daerah: Ampang Jaya<br>No:18<br>Hex coord:(3;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.230195,101.787023,Daerah: Ampang Jaya<br>No:19<br>Hex coord:(4;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.222415,101.800513,Daerah: Ampang Jaya<br>No:20<br>Hex coord:(5;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.230195,101.814003,Daerah: Ampang Jaya<br>No:21<br>Hex coord:(6;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.206855,101.746553,Daerah: Ampang Jaya<br>No:21.5<br>Hex coord:(1;5),gap,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.214635,101.760043,Daerah: Ampang Jaya<br>No:22<br>Hex coord:(2;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.206855,101.773533,Daerah: Ampang Jaya<br>No:23<br>Hex coord:(3;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.214635,101.787023,Daerah: Ampang Jaya<br>No:24<br>Hex coord:(4;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.206855,101.800513,Daerah: Ampang Jaya<br>No:25<br>Hex coord:(5;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.199075,101.760043,Daerah: Ampang Jaya<br>No:26<br>Hex coord:(2;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.191295,101.773533,Daerah: Ampang Jaya<br>No:27<br>Hex coord:(3;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.199075,101.787023,Daerah: Ampang Jaya<br>No:28<br>Hex coord:(4;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.191295,101.800513,Daerah: Ampang Jaya<br>No:29<br>Hex coord:(5;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.175735,101.746553,Daerah: Ampang Jaya<br>No:30<br>Hex coord:(1;7),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.183515,101.760043,Daerah: Ampang Jaya<br>No:31<br>Hex coord:(2;7),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.175735,101.773533,Daerah: Ampang Jaya<br>No:32<br>Hex coord:(3;7),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.183515,101.787023,Daerah: Ampang Jaya<br>No:33<br>Hex coord:(4;7),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.175735,101.800513,Daerah: Ampang Jaya<br>No:34<br>Hex coord:(5;7),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.167955,101.733063,Daerah: Ampang Jaya<br>No:34.3<br>Hex coord:(0;8),gap,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.160175,101.746553,Daerah: Ampang Jaya<br>No:34.6<br>Hex coord:(1;8),gap,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.167955,101.760043,Daerah: Ampang Jaya<br>No:35<br>Hex coord:(2;8),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.160175,101.773533,Daerah: Ampang Jaya<br>No:36<br>Hex coord:(3;8),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.167955,101.787023,Daerah: Ampang Jaya<br>No:37<br>Hex coord:(4;8),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.160175,101.800513,Daerah: Ampang Jaya<br>No:38<br>Hex coord:(5;8),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.136835,101.733063,Daerah: Ampang Jaya<br>No:38.5<br>Hex coord:(0;9),gap,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.144615,101.746553,Daerah: Ampang Jaya<br>No:39<br>Hex coord:(1;9),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.152395,101.760043,Daerah: Ampang Jaya<br>No:40<br>Hex coord:(2;9),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.144615,101.773533,Daerah: Ampang Jaya<br>No:41<br>Hex coord:(3;9),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.152395,101.787023,Daerah: Ampang Jaya<br>No:42<br>Hex coord:(4;9),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
