lat,lon,label,placename,weeklyactive,DENGUE,RABIES,ANIMAL_RABIES,MEASLES,HFMD,weight,timestamp,TB
3.401885,101.457331,Daerah: Selayang<br>No:1<br>Hex coord:(2;0),Gombak. Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:10.7285932Z,0
3.386325,101.457331,Daerah: Selayang<br>No:2<br>Hex coord:(2;1),Gombak. Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:11.4526445Z,0
3.378545,101.470821,Daerah: Selayang<br>No:3<br>Hex coord:(3;1),Gombak. Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:12.1540708Z,0
3.378545,101.713641,Daerah: Selayang<br>No:4<br>Hex coord:(21;1),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:12.8213321Z,0
3.370765,101.457331,Daerah: Selayang<br>No:5<br>Hex coord:(2;2),Selangor Fruits Vallry. Jalan Rawang. Taman Seri Indah. 45600 Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:13.4796394Z,0
3.362985,101.470821,Daerah: Selayang<br>No:6<br>Hex coord:(3;2),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:14.1740953Z,0
3.362985,101.713641,Daerah: Selayang<br>No:7<br>Hex coord:(21;2),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:14.8499809Z,0
3.370765,101.727131,Daerah: Selayang<br>No:8<br>Hex coord:(22;2),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:15.5175566Z,0
3.362985,101.740621,Daerah: Selayang<br>No:9<br>Hex coord:(23;2),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:16.1918670Z,0
3.370765,101.754111,Daerah: Selayang<br>No:10<br>Hex coord:(24;2),Gunung Bunga Buah - Arara Trail. Kuala Pahang. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:16.8556799Z,0
3.362985,101.767601,Daerah: Selayang<br>No:11<br>Hex coord:(25;2),Gunung Bunga Buah - Arara Trail. Gombak. Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:17.5364332Z,0
3.355205,101.457331,Daerah: Selayang<br>No:12<br>Hex coord:(2;3),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:18.2037043Z,0
3.347425,101.470821,Daerah: Selayang<br>No:13<br>Hex coord:(3;3),Batu Arang. Gombak. 48100 Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:18.9133896Z,0
3.355205,101.484311,Daerah: Selayang<br>No:14<br>Hex coord:(4;3),Jalan Batu Arang. Kampung Masjid. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:19.6273490Z,0
3.347425,101.497801,Daerah: Selayang<br>No:15<br>Hex coord:(5;3),Bandar Country Homes. Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:20.3677160Z,0
3.347425,101.524781,Daerah: Selayang<br>No:16<br>Hex coord:(7;3),Bandar Country Homes. 48000 Selayang Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:21.1213074Z,1
3.347425,101.713641,Daerah: Selayang<br>No:17<br>Hex coord:(21;3),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2023-01-30T18:01:21.7967956Z,0
