lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,reserved
3.284655,101.827493,Daerah: Ampang Jaya<br>No:1<br>Hex coord:(7;0),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:09.2089512Z,0
3.276875,101.787023,Daerah: Ampang Jaya<br>No:2<br>Hex coord:(4;1),Hulu Kelang. 53100 Ampang Jaya Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:10.0047830Z,0
3.269095,101.800513,Daerah: Ampang Jaya<br>No:3<br>Hex coord:(5;1),Sungai Pemulas. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:10.7654444Z,0
3.276875,101.814003,Daerah: Ampang Jaya<br>No:4<br>Hex coord:(6;1),Ampang Jaya Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:11.4992364Z,0
3.269095,101.827493,Daerah: Ampang Jaya<br>No:5<br>Hex coord:(7;1),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:12.2239317Z,0
3.276875,101.840983,Daerah: Ampang Jaya<br>No:6<br>Hex coord:(8;1),Gombak. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:13.1830276Z,0
3.253535,101.773533,Daerah: Ampang Jaya<br>No:7<br>Hex coord:(3;2),Klang River. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:13.9054080Z,0
3.261315,101.787023,Daerah: Ampang Jaya<br>No:8<br>Hex coord:(4;2),Sungai Seleh. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:14.6355161Z,0
3.253535,101.800513,Daerah: Ampang Jaya<br>No:9<br>Hex coord:(5;2),Sungai Songloi. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:15.3574157Z,0
3.261315,101.814003,Daerah: Ampang Jaya<br>No:10<br>Hex coord:(6;2),Sungai Jajar. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:16.1020967Z,0
3.253535,101.827493,Daerah: Ampang Jaya<br>No:11<br>Hex coord:(7;2),Hulu Kelang. 53100 Ampang Jaya Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:16.8277272Z,0
3.237975,101.773533,Daerah: Ampang Jaya<br>No:12<br>Hex coord:(3;3),Klang Gates Dam. Hulu Kelang. 53100 Ampang Jaya Municipal Council. Selangor. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:17.5522855Z,0
3.245755,101.787023,Daerah: Ampang Jaya<br>No:13<br>Hex coord:(4;3),Bukit Tajoh. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:18.2780152Z,0
3.237975,101.800513,Daerah: Ampang Jaya<br>No:14<br>Hex coord:(5;3),Sungai Tajoh. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:19.0012680Z,0
3.245755,101.814003,Daerah: Ampang Jaya<br>No:15<br>Hex coord:(6;3),Sungai Tajoh. Gombak. Malaysia,0,0,0,0,0,0,1,2022-04-14T02:30:19.7230493Z,0
3.222415,101.746553,Daerah: Ampang Jaya<br>No:16<br>Hex coord:(1;4),Jalan G2. Desa Melawati. Kuala Lumpur. Malaysia,97 ,0,0,0,0,0,1,2022-04-14T02:30:20.4750312Z,0
